timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742817530155,742,Vote,201,,Grupo de Usuários 1-85,text,true,,273,267,117,117,http://localhost:8080/v1/vote/1,742,0,1
1742817530150,747,Vote,201,,Grupo de Usuários 1-84,text,true,,273,267,117,117,http://localhost:8080/v1/vote/1,747,0,1
1742817530169,728,Vote,201,,Grupo de Usuários 1-88,text,true,,273,267,117,117,http://localhost:8080/v1/vote/1,728,0,3
1742817530160,737,Vote,201,,Grupo de Usuários 1-86,text,true,,273,267,117,117,http://localhost:8080/v1/vote/1,737,0,1
1742817530180,717,Vote,201,,Grupo de Usuários 1-90,text,true,,273,267,117,117,http://localhost:8080/v1/vote/1,717,0,2
1742817530165,734,Vote,201,,Grupo de Usuários 1-87,text,true,,273,267,112,112,http://localhost:8080/v1/vote/1,733,0,2
1742817530175,726,Vote,201,,Grupo de Usuários 1-89,text,true,,273,267,111,111,http://localhost:8080/v1/vote/1,725,0,2
1742817530184,755,Vote,201,,Grupo de Usuários 1-91,text,true,,273,267,110,110,http://localhost:8080/v1/vote/1,754,0,2
1742817530190,749,Vote,201,,Grupo de Usuários 1-92,text,true,,273,267,110,110,http://localhost:8080/v1/vote/1,748,0,1
1742817530211,757,Vote,201,,Grupo de Usuários 1-96,text,true,,273,267,108,108,http://localhost:8080/v1/vote/1,757,0,2
1742817530199,776,Vote,201,,Grupo de Usuários 1-94,text,true,,273,267,107,107,http://localhost:8080/v1/vote/1,776,0,1
1742817530195,780,Vote,201,,Grupo de Usuários 1-93,text,true,,273,267,107,107,http://localhost:8080/v1/vote/1,780,0,2
1742817530214,761,Vote,201,,Grupo de Usuários 1-97,text,true,,273,267,107,107,http://localhost:8080/v1/vote/1,761,0,2
1742817530221,754,Vote,201,,Grupo de Usuários 1-98,text,true,,273,267,107,107,http://localhost:8080/v1/vote/1,754,0,2
1742817530230,745,Vote,201,,Grupo de Usuários 1-100,text,true,,273,267,107,107,http://localhost:8080/v1/vote/1,745,0,2
1742817530205,771,Vote,201,,Grupo de Usuários 1-95,text,true,,273,267,106,106,http://localhost:8080/v1/vote/1,770,0,1
1742817530225,752,Vote,201,,Grupo de Usuários 1-99,text,true,,273,267,101,101,http://localhost:8080/v1/vote/1,751,0,2
1742817530235,774,Vote,201,,Grupo de Usuários 1-101,text,true,,273,267,100,100,http://localhost:8080/v1/vote/1,773,0,2
1742817530240,769,Vote,201,,Grupo de Usuários 1-102,text,true,,273,267,100,100,http://localhost:8080/v1/vote/1,768,0,2
1742817530262,796,Vote,201,,Grupo de Usuários 1-106,text,true,,273,267,98,98,http://localhost:8080/v1/vote/1,795,0,1
1742817530271,792,Vote,201,,Grupo de Usuários 1-108,text,true,,273,267,97,97,http://localhost:8080/v1/vote/1,792,0,1
1742817530276,787,Vote,201,,Grupo de Usuários 1-109,text,true,,273,267,97,97,http://localhost:8080/v1/vote/1,787,0,1
1742817530250,813,Vote,201,,Grupo de Usuários 1-104,text,true,,273,267,97,97,http://localhost:8080/v1/vote/1,813,0,3
